index,latitude,longitude,Temp_pre_30,Temp_pre_15,Temp_pre_7,Wind_pre_30,Wind_pre_15,Wind_pre_7,Hum_pre_30,Hum_pre_15,Hum_pre_7,Prec_pre_30,Prec_pre_15,Prec_pre_7,remoteness,catastrophic,month_sin,month_cos,Vegetation_0,Vegetation_4,Vegetation_9,Vegetation_12,Vegetation_14,Vegetation_15,Vegetation_16,Vegetation
37267,65.9496,-146.6859,16.37090239,14.33216783,11.57894737,2.324309392,1.97972028,3.823684211,50.75690608,64.48951049,57.31578947,0.0,0.0,0.0,0.5895526058063463,1,-0.4999999999999998,-0.8660254037844388,True,False,False,False,False,False,False,0
37268,35.9166,-120.9177,17.35621891,18.75384615,23.71276596,2.560696517,2.25,2.4148936169999997,57.21666667,54.78494624,43.47826087,0.0,0.0,0.0,0.1234634339775546,1,0.49999999999999994,-0.8660254037844387,False,False,False,False,False,True,False,15
37269,35.4333,-118.9176,21.90125174,21.73454039,20.15808383,3.395549374,3.525069638,4.09760479,42.46935933,46.99162011,53.04216867,0.0,0.0,0.0,0.0807541705073036,1,0.49999999999999994,-0.8660254037844387,False,False,False,False,False,True,False,15
37270,36.9166,-120.7344,24.55325203,27.55169492,24.9125,2.625609756,2.399152542,2.130357143,40.33739837,36.69491525,39.55357143,0.0,0.0,0.0,0.1217952869617369,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
37271,35.6833,-119.5843,26.83945687,28.63049451,28.32440476,3.191214058,3.2140109889999997,3.0619047619999997,41.02715655,39.49725275,44.55357143,0.0,0.0,0.0,0.0952289136276014,1,-0.4999999999999998,-0.8660254037844388,False,False,False,False,False,True,False,15
37273,36.4499,-118.9843,27.16028369,27.24715909,27.25609756,2.211347518,2.130681818,1.815243902,52.20283688,53.44886364,55.75,0.0,0.0,0.0,0.0846677086483345,1,-0.8660254037844384,-0.5000000000000004,True,False,False,False,False,False,False,0
37274,34.9777,-118.4526,26.94868624,28.49032258,27.17361111,6.175856698,6.282679739,6.1755244760000005,24.0125,23.49671053,25.38461538,0.0,0.0,0.0,0.0860670835891643,1,-0.4999999999999998,-0.8660254037844388,False,False,False,False,False,False,True,16
37275,33.8692,-116.9011,28.14084507,27.74311927,26.16071429,4.471698113,4.537962963,4.394642857,40.68844221,41.34343434,42.5625,0.0,0.0,0.0,0.1295181948009622,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,False,True,16
37276,41.2832,-119.801,22.70422535,23.30188679,25.54545455,3.08028169,3.096226415,3.022727273,40.01408451,36.41509434,33.72727273,0.0,0.0,0.0,0.1173681020364683,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
37277,39.4,-108.6673,26.17804878,26.55405405,27.0,2.754918033,2.132432432,2.024324324,38.0,38.0,38.0,0.0,0.0,0.0,0.1570868875760609,1,-0.4999999999999998,-0.8660254037844388,True,False,False,False,False,False,False,0
37278,43.2121,-116.4251,19.05282258,17.70815789,16.50909091,3.537903226,3.629736842,3.605681818,44.67069892,50.95789474,59.55681818,5.3,5.3,4.3,0.0643376218630218,1,1.2246467991473532e-16,-1.0,False,False,True,False,False,False,False,9
37279,42.8332,-115.6354,20.15521558,18.26601671,21.08263473,4.158547008999999,4.098850575,3.634337349,41.64387464,45.88505747,45.39759036,25.0,25.0,9.0,0.0475547970269516,1,-0.4999999999999998,-0.8660254037844388,False,True,False,False,False,False,False,4
37280,43.35783,-116.32459,25.19624161,25.45096419,28.15146199,3.331677852,3.2556473830000003,2.890643275,33.33020134,32.87327824,30.13450292,2.3,2.3,1.5,0.0634102134848511,1,-0.4999999999999998,-0.8660254037844388,False,False,True,False,False,False,False,9
37281,43.3366,-116.3426,25.19372497,25.25148248,27.38114286,3.351268358,3.2525606469999997,2.9617142860000003,34.4058745,34.76549865,36.70285714,3.1,3.1,2.3,0.0636053485457879,1,-0.8660254037844384,-0.5000000000000004,False,False,True,False,False,False,False,9
37282,42.2649,-114.8242,26.51190476,26.51162791,27.91666667,4.72952381,4.470697674,4.35462963,29.33743842,29.41826923,31.99047619,0.0,0.0,0.0,0.0290400123127394,1,-0.8660254037844384,-0.5000000000000004,False,False,True,False,False,False,False,9
37283,43.1082,-115.8534,24.88429752,24.09944751,26.01785714,3.863034483,3.820165746,3.1482142860000004,40.57241379,42.25966851,36.42261905,2.8,0.0,0.0,0.0532703989139478,1,-0.8660254037844384,-0.5000000000000004,False,False,True,False,False,False,False,9
37284,42.2982,-115.3592,25.6856492,25.1040724,25.0,4.706150342,4.711312217,4.887254902,28.38837209,27.11059908,30.99009901,0.0,0.0,0.0,0.0391334212464695,1,-0.8660254037844384,-0.5000000000000004,False,False,True,False,False,False,False,9
37285,42.5566,-115.5242,24.197787,24.35833333,21.42857143,3.76074896,3.72729805,3.431547619,41.04722222,38.26815642,39.79640719,0.0,0.0,0.0,0.0437818727462604,1,-0.8660254037844384,-0.5000000000000004,False,True,False,False,False,False,False,4
37286,42.9582,-115.9259,24.197787,24.35833333,21.42857143,3.76074896,3.72729805,3.431547619,41.04722222,38.26815642,39.79640719,0.0,0.0,0.0,0.0536532379703884,1,-0.8660254037844384,-0.5000000000000004,False,True,False,False,False,False,False,4
37287,43.0616,-115.9459,24.197787,24.35833333,21.42857143,3.76074896,3.72729805,3.431547619,41.04722222,38.26815642,39.79640719,0.0,0.0,0.0,0.0546644579643718,1,-0.8660254037844384,-0.5000000000000004,False,False,True,False,False,False,False,9
37288,43.4366,-116.4443,24.31366712,24.62,21.88313953,3.4192151560000004,3.3443243239999996,2.977906977,32.9120433,30.47027027,30.73255814,2.3,0.0,0.0,0.0660740003685937,1,-0.8660254037844384,-0.5000000000000004,False,False,True,False,False,False,False,9
37289,43.21091,-116.14802,24.99861878,24.44598338,27.41666667,3.873443983,3.950969529,3.552380952,41.05670816,41.29085873,38.27380952,2.8,0.0,0.0,0.0592824420265836,1,-0.8660254037844384,-0.5000000000000004,False,False,True,False,False,False,False,9
37290,43.1861,-116.04665,25.02766252,24.84166667,23.07142857,3.824687933,3.733147632,4.163473054,40.06934813,38.57103064,40.68862275,0.0,0.0,0.0,0.0572812729927245,1,-0.8660254037844384,-0.5000000000000004,False,False,True,False,False,False,False,9
37292,42.7699,-111.8158,20.19178082,20.80172414,19.07692308,4.01826484,3.5215517239999996,3.294230769,40.375,37.35652174,35.35294118,0.0,0.0,0.0,0.0543058734231443,1,-0.8660254037844384,-0.5000000000000004,False,True,False,False,False,False,False,4
37293,43.2171,-113.2342,18.15384615,18.32905983,17.57657658,3.3923076919999997,3.2388888889999996,3.1810810810000003,36.4922049,35.12068966,34.42727273,0.0,0.0,0.0,0.0263296606223615,1,-0.8660254037844384,-0.5000000000000004,False,False,True,False,False,False,False,9
37294,43.101000000000006,-113.3131,16.62328767,14.64197531,12.6,2.596575342,2.708641975,3.1475,60.69863014,63.01234568,65.55,0.0,0.0,0.0,0.0270399052556828,1,-1.0,-1.8369701987210297e-16,False,False,True,False,False,False,False,9
37295,43.0574,-113.2933,16.62328767,14.64197531,12.6,2.596575342,2.708641975,3.1475,60.69863014,63.01234568,65.55,0.0,0.0,0.0,0.0280315889885771,1,-1.0,-1.8369701987210297e-16,False,False,True,False,False,False,False,9
37296,42.033,-113.8178,20.01923077,19.84615385,21.43181818,2.307051282,1.811538462,1.729545455,58.63461538,61.42307692,60.43181818,0.0,0.0,0.0,0.0368987845711306,1,-0.8660254037844384,-0.5000000000000004,False,False,True,False,False,False,False,9
